ADDR,LAT,LON,HOUSE_ID,ADDRESS,YEAR,LASTUPDATE,SERVICEDATE_START,SERIE,HOUSE_TYPE,CAPFOND,MGMT_COMPANY,MGMT_COMPANY_LINK,AVAR,LEVELS_MAX,LEVELS_MIN,DOORS,ROOM_COUNT,ROOM_COUNT_LIVE,ROOM_COUNT_NONLIVE,AREA,AREA_LIVE,AREA_NONLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENERGY_CLASS,BLAG_PLAYGROUND,BLAG_SPORT,BLAG_OTHER,OTHER
"2-я Владимирская улица, дом 32, корпус 1",55.752019,37.783383,7680386,"г. Москва, ул. Владимирская 2-я, д. 32, к. 1",1961,04.03.2016 в 11:28,01.01.2010,индив.,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,80,79,1,3439.60,3388.00,52.00,1974.65,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 32, корпус 2",55.751842,37.782431,7680398,"г. Москва, ул. Владимирская 2-я, д. 32, к. 2",1962,04.03.2016 в 11:32,01.07.2009,1-510,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,80,80,0,3524.20,3525.00,0.00,1562.75,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 32, корпус 3",55.751665,37.781497,7680411,"г. Москва, ул. Владимирская 2-я, д. 32, к. 3",1959,04.03.2016 в 11:35,01.01.2010,индив.,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,3,61,59,2,3365.10,3074.00,291.00,1481.10,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 33",55.754132,37.78386,8643760,"г. Москва, ул. Владимирская 2-я, д. 33",1967,18.01.2016 в 14:51,01.09.2015,1-515,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Перово""",http://www.reformagkh.ru/mymanager/profile/8926753/,Нет,5,5,4,80,80,0,3538.70,2295.00,1243.00,902.80,0.00,Незаполнено,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 34",55.751361,37.783383,7680420,"г. Москва, ул. Владимирская 2-я, д. 34",1964,04.03.2016 в 11:38,01.01.2010,1-510,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,3,50,48,2,2493.20,1976.00,517.00,1357.45,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 35",55.7536,37.784156,8643766,"г. Москва, ул. Владимирская 2-я, д. 35",1965,18.01.2016 в 14:52,01.09.2015,1-515,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Перово""",http://www.reformagkh.ru/mymanager/profile/8926753/,Нет,5,5,4,80,80,0,3536.90,2304.00,1233.00,907.60,0.00,Незаполнено,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 36",55.751472,37.783976,7680430,"г. Москва, ул. Владимирская 2-я, д. 36",1960,04.03.2016 в 11:42,01.01.2010,индив,Многоквартирный дом,На счете регионального оператора,"ООО ""УК ЮНИ-ДОМ""",http://www.reformagkh.ru/mymanager/profile/7567428/,Нет,5,5,4,64,60,4,3230.80,2667.00,568.00,1722.45,0.00,0.00,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 37, корпус 2",55.75324,37.785027,8643778,"г. Москва, ул. Владимирская 2-я, д. 37, к. 2",1963,18.01.2016 в 14:55,01.09.2015,1-510,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Перово""",http://www.reformagkh.ru/mymanager/profile/8926753/,Нет,5,5,4,80,80,0,3532.40,2526.00,1007.00,9036.00,0.00,Незаполнено,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 39",55.752577,37.784866,8643780,"г. Москва, ул. Владимирская 2-я, д. 39",1964,18.01.2016 в 14:57,01.09.2015,1-515,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Перово""",http://www.reformagkh.ru/mymanager/profile/8926753/,Нет,5,5,4,80,80,0,3523.70,2515.00,1010.00,9204.00,0.00,Незаполнено,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
"2-я Владимирская улица, дом 41, корпус 1",55.751893,37.784767,8643782,"г. Москва, ул. Владимирская 2-я, д. 41, к. 1",1961,18.01.2016 в 15:04,01.09.2015,1-511,Многоквартирный дом,На специальном счете у регионального оператора,"ГБУ ""Жилищник района Перово""",http://www.reformagkh.ru/mymanager/profile/8926753/,Нет,5,5,4,74,74,0,4169.00,2189.00,1031.00,9159.00,0.00,Незаполнено,,E,Не имеется,Не имеется,Не заполнено,Не заполнено
